Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_NN,nn_630_512_282_ld_630_282_630,Gemm_Rocblas_-1140853871,0.0762742
GemmTunableOp_float_NT,nt_1_378000_9_ld_1_378000_1,Gemm_Rocblas_-9,0.199112
GemmTunableOp_float_NN,nn_518_640_230_ld_518_230_518,Gemm_Rocblas_-1140853677,0.0878713
GemmTunableOp_float_NN,nn_518_512_230_ld_518_230_518,Gemm_Rocblas_-1140853727,0.0661103
GemmTunableOp_float_NN,nn_451_640_196_ld_451_196_451,Gemm_Rocblas_-1140853704,0.0652708
GemmTunableOp_float_NN,nn_451_512_196_ld_451_196_451,Gemm_Rocblas_-1140853653,0.0528635
GemmTunableOp_float_NT,nt_1_270600_9_ld_1_270600_1,Gemm_Rocblas_-1140854860,0.163873
GemmTunableOp_float_NN,nn_354_640_150_ld_354_150_354,Gemm_Rocblas_-1140853974,0.0492787
GemmTunableOp_float_NN,nn_354_512_150_ld_354_150_354,Gemm_Rocblas_-1140853677,0.0391456
GemmTunableOp_float_NT,nt_1_212400_9_ld_1_212400_1,Gemm_Rocblas_-9,0.123429
GemmTunableOp_float_NN,nn_620_640_280_ld_620_280_620,Gemm_Rocblas_-1140853676,0.107113
GemmTunableOp_float_NN,nn_620_512_280_ld_620_280_620,Gemm_Rocblas_-1140853883,0.0840749
GemmTunableOp_float_NT,nt_1_372000_9_ld_1_372000_1,Gemm_Rocblas_-1140854912,0.210134
GemmTunableOp_float_TN,tn_768_381_128_ld_128_128_768,Default,0.0657997
GemmTunableOp_float_TN,tn_768_381_768_ld_768_768_768,Gemm_Rocblas_-1140855676,0.209943
GemmTunableOp_float_TN,tn_2048_381_768_ld_768_768_2048,Gemm_Rocblas_-1140855737,0.491381
GemmTunableOp_float_TN,tn_768_381_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855669,0.543682
GemmTunableOp_float_TN,tn_768_1_768_ld_768_292608_768,Gemm_Rocblas_-9,0.040806
GemmTunableOp_float_TN,tn_512_381_768_ld_768_768_512,Gemm_Rocblas_-1140855639,0.131352
GemmTunableOp_float_TN,tn_50_381_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0279229
GemmTunableOp_float_NN,nn_808_640_381_ld_808_381_808,Gemm_Rocblas_-1140853933,0.161577
GemmTunableOp_float_NN,nn_808_512_381_ld_808_381_808,Gemm_Rocblas_-1140853871,0.118615
GemmTunableOp_float_NT,nt_1_484800_9_ld_1_484800_1,Gemm_Rocblas_-1140854812,0.277077
GemmTunableOp_float_TN,tn_768_203_128_ld_128_128_768,Gemm_Rocblas_-1140855742,0.0463636
GemmTunableOp_float_TN,tn_768_203_768_ld_768_768_768,Gemm_Rocblas_-1140855657,0.142987
GemmTunableOp_float_TN,tn_2048_203_768_ld_768_768_2048,Gemm_Rocblas_-1140855676,0.267362
GemmTunableOp_float_TN,tn_768_203_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855928,0.333139
GemmTunableOp_float_TN,tn_768_1_768_ld_768_155904_768,Gemm_Rocblas_-9,0.0383337
GemmTunableOp_float_TN,tn_512_203_768_ld_768_768_512,Gemm_Rocblas_-1140855714,0.0979161
GemmTunableOp_float_TN,tn_50_203_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0245389
GemmTunableOp_float_NN,nn_480_640_203_ld_480_203_480,Gemm_Rocblas_-1140853865,0.0648677
GemmTunableOp_float_NN,nn_480_512_203_ld_480_203_480,Gemm_Rocblas_-1140853925,0.0575975
GemmTunableOp_float_NT,nt_1_288000_9_ld_1_288000_1,Default,0.165349
GemmTunableOp_float_TN,tn_768_409_128_ld_128_128_768,Gemm_Rocblas_-1140855911,0.0757685
GemmTunableOp_float_TN,tn_768_409_768_ld_768_768_768,Gemm_Rocblas_-1140855641,0.213493
GemmTunableOp_float_TN,tn_2048_409_768_ld_768_768_2048,Gemm_Rocblas_-1140855730,0.514549
GemmTunableOp_float_TN,tn_768_409_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855748,0.502121
GemmTunableOp_float_TN,tn_768_1_768_ld_768_314112_768,Gemm_Rocblas_-1140855837,0.045906
GemmTunableOp_float_TN,tn_512_409_768_ld_768_768_512,Gemm_Rocblas_-1140855656,0.151347
